"country_name","release_year","total_titles"
United States,2018,456
United States,2017,441
United States,2019,428
United States,2020,384
United States,2016,348
United States,2015,210
Unknown,2021,209
United States,2021,173
United States,2014,138
Unknown,2019,117
United States,2013,112
India,2017,111
Unknown,2018,109
United Kingdom,2016,102
Unknown,2020,101
India,2018,101
United Kingdom,2017,101
United States,2012,101
United Kingdom,2018,96
India,2019,93
United States,2010,85
United States,2011,85
India,2016,80
India,2020,77
United States,2009,72
India,2015,70
United Kingdom,2019,68
United Kingdom,2020,67
United States,2008,67
Canada,2018,67
United Kingdom,2015,66
Unknown,2017,66
Unknown,2016,64
Canada,2017,58
India,2013,58
Canada,2016,57
India,2014,56
France,2016,52
France,2019,49
Japan,2018,49
United States,2006,48
France,2018,47
United States,2007,47
Spain,2018,46
United Kingdom,2014,45
Unknown,2015,44
Canada,2019,44
United States,2005,43
India,2012,41
India,2010,41
France,2017,40
Canada,2020,39
Japan,2017,37
United States,2003,37
Canada,2015,36
Japan,2019,36
South Korea,2016,36
United Kingdom,2021,36
India,2021,35
South Korea,2018,34
India,2011,33
Germany,2020,33
France,2015,33
Spain,2017,33
South Korea,2017,33
Spain,2019,32
South Korea,2020,31
Spain,2016,31
Spain,2020,31
Canada,2014,30
Germany,2016,30
United States,1997,30
United States,2002,29
United States,2001,29
United Kingdom,2013,29
India,2009,28
China,2017,27
South Korea,2019,27
France,2020,26
United States,2004,26
India,2008,26
United States,2000,26
Mexico,2018,25
Japan,2016,25
Mexico,2019,25
China,2016,25
Japan,2020,24
China,2019,24
China,2018,24
Mexico,2020,23
United States,1999,23
Brazil,2020,23
Mexico,2016,23
Germany,2017,22
United Kingdom,2012,22
France,2014,22
United Kingdom,2011,22
United States,1998,21
Mexico,2017,20
Australia,2018,20
Australia,2017,20
India,2006,20
India,2005,20
United States,1993,19
Unknown,2014,19
South Korea,2021,19
United Kingdom,2009,19
Nigeria,2018,19
Brazil,2019,18
United Kingdom,2010,18
Australia,2016,18
Italy,2020,18
Unknown,2013,18
Argentina,2018,17
India,2007,17
Nigeria,2017,17
United States,1996,17
Australia,2015,17
France,2013,16
Spain,2015,16
Belgium,2018,16
Indonesia,2018,16
Spain,2021,16
Canada,2012,16
Nigeria,2019,16
Indonesia,2020,16
Unknown,2010,16
Japan,2014,16
Japan,2015,16
South Korea,2015,16
United States,1995,16
Australia,2019,16
India,2004,15
China,2020,15
Japan,2021,15
Philippines,2019,15
Canada,2011,15
Belgium,2016,15
Egypt,2018,15
Colombia,2018,15
Unknown,2012,15
Ireland,2016,15
Brazil,2018,15
Germany,2015,14
Germany,2019,14
South Africa,2017,14
Hong Kong,2016,14
United Kingdom,2008,14
Germany,2018,14
Argentina,2020,14
Canada,2010,14
France,2010,14
United States,1990,14
Turkey,2014,14
Nigeria,2016,14
United States,1988,14
